employee_id,employee_name,age,gender,blood_group,department,designation,division,basic_salary,bonus,total_salary,phone,join_date,attendance_pct,email,nid,experience_yrs
EMP00035,Roksana Khatun,48,Male,O-,Embroidery,Floor In-charge,CTG,"৳31,744",3691,35435,01752213778,2020-03-31,81.3,roksana.khatun15@gmail.com,1021423808904,9.9
EMP00036,Shirina Islam,51,Male,A+,Embroidery,Operator,Dhaka,13083,1807,14890,01991721371,"September 19, 2020",95.0,shirina.islam91@gmail.com,6463878629557,8.3
EMP00037,Shirina Sheikh,25,Male,O-,Cutting,Helper,Narayanganj,8939,1193,10132,01929413516,"August 25, 2020",84.6,shirina.sheikh77@gmail.com,3404663395981,13.0
EMP00038,Mofiz Mondal,50,Female,O-,Embroidery,Line Chief,NARAYANGANJ,22434,1896,24330,01835320492,2021/02/04,99.5,mofiz.mondal31@gmail.com,7736964572317,3.5
EMP00039,sohel sheikh,48,Male,O-,Sewing,Line Chief,Gazipur,28115,4120,32235,01780591959,11/11/19,97.8,sohel.sheikh2@gmail.com,,6.1
EMP00040,Mamun Khan,34,Male,AB+,cut,Floor In-charge,N.ganj,30188,1618,31806,01722130508,21/05/18,85.8,mamun.khan13@gmail.com,8804387252142,2.5
EMP00041,Hasina Talukder,21,Female,B-,Sewing,Operator,Sylhet,12070,815,12885,01888270025,"June 02, 2021",78.6,hasina.talukder60@gmail.com,5469505767365,6.9
EMP00042,Sharmin Miah,52,Female,A-,Strore,Quality Inspector,Gazipur,14450,2167,16617,01761185849,2022-10-14,89.3,sharmin.miah74@gmail.com,6195618841656,0.3
EMP00043,Sharmin Sheikh,21,Male,A-,Packing,Operator,Khulna,13069,981,14050,01996750368,2022-03-28,76.0,sharmin.sheikh57@gmail.com,2585407341647,13.6
EMP00044,Selim Biswas,26,Male,O-,Embroidery,Supervisor,Dhaka,18695.00,2330,21025,01728892086,25/11/19,93.9,selim.biswas29@gmail.com,7992120610467,14.5
EMP00045,Shirina Akter,34,Male,AB-,Cutting,Asst. Manager,Chattogram,47172,5542,52714,01939711402,2020-08-23,91.2,shirina.akter82@gmail.com,9168271261496,13.6
EMP00046,  Hasina Sarker  ,20,Female,B+,Embroidery,Senior Operator,Dhaka,17035,1484,18519,01897902129,"March 02, 2022",77.5,hasina.sarker63@gmail.com,8179534557745,14.1
EMP00047,Mofiz Miah,46,Female,A-,Washing,Helper,Rajshahi,7483,516,7999,01938468360,2018-09-08,91.0,mofiz.miah77@gmail.com,1377832968774,0.8
EMP00048,Selim Ali,22,Male,B+,Finishing,Machine Mechanic,Dhaka,16803,845,17648,01943642236,2022-10-25,95.0,selim.ali15@gmail.com,3315098097457,0.2
EMP00049,Kulsum Khatun,34,Male,A+,Washing,Operator,Dhaka,12448,1361,13809,01998436473,2020-07-14,88.0,kulsum.khatun59@gmail.com,2069580647685,15.0
EMP00050,belal sheikh,46,Female,O-,Cutting,Floor In-charge,Gazipur,29505,3576,33081,01991-259008,2020-02-20,85.8,belal.sheikh90@gmail.com,4783288481694,6.5
EMP00051,Kulsum Sheikh,44,Male,,Washing,Floor In-charge,Rajshahi,27500,1626,29126,01760015814,"June 24, 2018",95.3,kulsum.sheikh72@gmail.com,6800618261354,10.1
EMP00052,Nadia Akter,37,Male,AB+,Embroidery,Operator,Sylhet,13734,1848,15582,01940354559,2020-01-23,999,nadia.akter72@gmail.com,1507954820162,2.7
EMP00053,rubel mondal,18,Female,O+,packing,Line Chief,Syhlet,22324.00,2782,25106,01855754284,17-03-2019,78.9,rubel.mondal40@gmail.com,6706815800168,11.7
EMP00054,করিম Khan,28,Male,AB-,Cutting,Operator,Dhaka,9407,727,10134,01824883373,2022-03-27,82.1,anwar.khatun87@gmail.com,9562417313120,7.9
EMP00055,hasina miah,21,Male,O+,Quality Ctrl,Asst. Manager,Khulna,35253,4396,39649,,2018/12/26,87.5,hasina.miah86@gmail.com,7231165182646,1.1
EMP00056,Nasrin Miah,,Female,AB-,Embroidery,Operator,Rajshahi,13716,2011,15727,,2018-12-18,96.1,nasrin.miah32@gmail.com,7962479773503,13.1
EMP00057,Nasrin Akter,28,Male,B+,Quality Control,Line Chief,Narayanganj,"৳25,752",1552,27304,01930517835,2019/06/09,94.0,nasrin.akter84@gmail.com,,14.3
EMP00058,Mamun Islam,55,Female,A+,Store,Machine Mechanic,Narayanganj,17138,1939,19077,01878093604,19/06/22,76.9,mamun.islam60@gmail.com,1663365918865,0.9
EMP00059,HASINA BEGUM,50,Female,A-,Cutting,Machine Mechanic,Khulna,12336,803,13139,01821318464,2018-05-07,87.6,hasina.begum23@gmail.com,5355264952304,10.6
EMP00060,Rashid Uddin,41,Female,AB+,Maintenance,Machine Mechanic,Dhaka,15348 taka,1624,16972,01998122539,2020/03/02,99.1,rashid.uddin78@gmail.com,3645155594647,5.0
EMP00061,Anwar Sarker,43,Female,A+,Finishing,Line Chief,Sylhet,22093,2532,24625,01851-455302,2020-05-17,79.5,anwar.sarker28@gmail.com,9554570502206,2.9
EMP00062,HABIB KHAN,24,Male,O-,cut,Quality Inspector,narayanganj,17422 taka,1154,18576,01765144509,2022-08-30,84.1,habib.khan93@gmail.com,5116506800494,8.0
EMP00063,Hasina Mondal,54,Male,O-,Store,Helper,Sylhet,7945.00,507,8452,01884429198,2019-05-28,98.4,hasina.mondal92@gmail.com,3194089051315,4.3
EMP00064,Sohel Khan,27,Male,AB-,Pakcing,Floor In-charge,KHULNA,25872,2261,28133,+8801713783268,2020/03/01,83.0,sohel.khan13@gmail.com,6899781657293,11.9
EMP00065,Habib Miah,26,Female,A-,Packing,Floor In-charge,Gazipur,29193,3062,32255,01841895531,"January 29, 2022",82.5,habib.miah7@gmail.com,8384072871692,9.6
EMP00066,Lovely Islam,49,Female,B+,Cutting,Senior Operator,Narayanganj,17221,1469,18690,01999686286,"March 14, 2021",77.1,lovely.islam47@gmail.com,9933481859802,8.3
EMP00067,Belal Hawladar,42,Female,B+,Store,Operator,Gazipur,9133 taka,578,9711,01972360629,23-12-2019,99.5,belal.hawladar62@gmail.com,4206758887632,12.2
EMP00068,fatema biswas,30,Male,AB+,Store,Operator,Sylhet,"৳10,634",801,11435,01816416148,2022-03-23,96.6,fatema.biswas43@gmail.com,3187311810073,12.0
EMP00069,Nadia Talukder,39,Male,AB+,Embroidery,Floor In-charge,Rajshahi,36912,3435,40347,01823770458,??-??-????,77.0,nadia.talukder85@gmail.com,6391453720414,6.7
EMP00070,Rubel Sheikh,46,Male,A+,Finishing,Floor In-charge,Sylhet,35996,3647,39643,+8801791547054,2022-03-16,92.0,rubel.sheikh57@gmail.com,3220647552471,1.0
EMP00071,Sohel Sarker,54,Female,B-,Washing,Line Chief,Rajshahi,21259.00,1843,23102,01713478029,2019-10-06,93.4,sohel.sarker64@gmail.com,7809746863168,
EMP00072,Sumaiya Hossain,36,Female,AB-,Packing,,Dkha,27828,3647,31271,01918715975,2022-09-28,88.7,sumaiya.hossain38@gmail.com,6278048079927,12.8
EMP00073,Rubel Biswas,32,Male,A-,FINISHING,Line Chief,KHULNA,29077,3791,32868,01751512297,03/02/21,85.0,rubel.biswas92@gmail.com,9421223421834,7.9
EMP00074,Sohel Sheikh,38,Male,O+,Admin,Senior Operator,Dhaka,16816.00,1829,,01917437386,2022-04-22,95.8,sohel.sheikh67@gmail.com,6347891479944,2.5
EMP00075,Selim Talukder,36,Male,B+,qc,Line Chief,KHULNA,"৳22,050",2279,24329,01798413629,2020-10-26,90.6,selim.talukder78@gmail.com,1501926118335,1.2
EMP00076,Mamun Mondal,31,Female,AB+,Admin,Quality Inspector,Gazipur,17137,1276,18413,01819794273,2022-07-12,92.2,mamun.mondal21@gmail.com,8311922429037,7.3
EMP00077,Jamal Akter,38,Female,B-,Admin,Supervisor,Sylhet,24437,2362,26799,01722993840,2019-07-02,76.3,jamal.akter50@gmail.com,5365482647779,14.4
EMP00078,Roksana Hawladar,38,Female,B-,Washing,Machine Mechanic,Gazipur,16216,2344,18560,01788295121,01/11/20,83.8,roksana.hawladar7@gmail.com,9707107125252,9.0
EMP00079,Mamun Sarker,18,Male,AB-,Store,Quality Inspector,Khulna,17959,990,18949,01948735464,"February 24, 2021",76.8,mamun.sarker65@gmail.com,5920099172155,12.4
EMP00080,Lovely Sarker,24,Male,AB-,Admin,Senior Operator,dhaka,"৳17,569",949,18518,01879703656,"March 21, 2018",86.4,lovely.sarker78@gmail.com,6768741433307,14.0
EMP00081,Selim Khan,37,Female,AB+,Embroidery,Machine Mechanic,Gazipur,16360,1360,17720,01994457912,"August 13, 2018",75.7,selim.khan61@gmail.com,3999950684436,7.9
EMP00082,Nasrin Khatun,33,Female,A+,Embroidery,Supervisor,Narayanganj,21139,1488,22627,01928533117,"October 24, 2020",88.0,nasrin.khatun72@gmail.com,9416685175320,7.9
EMP00083,selim khan,52,Female,B-,Store,,Sylhet,6725,969,7694,01975632882,02-09-2019,82.9,selim.khan45@gmail.com,5813462896445,4.3
EMP00084,Anwar Sarker,40,Female,AB+,MAINTENANCE,Asst. Manager,Rajshahi,43403,3099,46502,,2022-08-23,90.4,anwar.sarker76@gmail.com,5265930233598,0.8
EMP00085,Faruk Ali,44,Female,O-,Quality Control,Operator,Chattogram,12869,1847,14225,+8801936770527,2022-12-04,93.9,faruk.ali37@gmail.com,6022196173810,9.7
EMP00086,Sohel Begum,20,Male,AB-,Admin,Helper,Khulna,8887,453,9340,01870981700,09/03/21,99.7,sohel.begum70@gmail.com,9690970770753,13.3
EMP00087,Habib Hawladar,30,Male,B+,Maintenance,Floor In-charge,Sylhet,25230,2694,27542,01995728324,2022-03-31,97.4,habib.hawladar55@gmail.com,6770354192116,1.3
EMP00088,sharmin begum,38,Female,AB-,Finishin,Supervisor,Rajshahi,23319,2852,26171,+8801941715995,2018-01-24,76.6,sharmin.begum16@gmail.com,6396477780033,2.4
EMP00089,Sharmin Uddin,36,Female,B-,Packing,,Gazipur,14795,1355,16150,01789968863,"January 29, 2021",96.8,sharmin.uddin11@gmail.com,8857752218281,7.9
EMP00090,monira begum,53,Female,A-,Admin,Senior Operator,CTG,17691,1090,18781,01969-791674,"February 25, 2019",95.2,monira.begum59@gmail.com,9037668045774,8.5
EMP00091,Shirina Islam,34,Female,A+,Packing,Operator,RAJSHAHI,10785,1611,12396,01864877191,2018-05-22,79.5,shirina.islam18@gmail.com,8263618939,14.9
EMP00092,BELAL ISLAM,52,Female,O+,Embroidery,Asst. Manager,Chittagong,42297,5313,47610,+8801960905625,2019/09/04,95.6,belal.islam32@gmail.com,7087947028930,2.3
EMP00093,Jamal Talukder,44,Male,B-,cutting,Operator,Narayanganj,"৳9,128",1070,10198,01915937353,2022-11-22,85.1,jamal.talukder30@gmail.com,4820544176870,11.3
EMP00094,Sohel Miah,32,Female,AB+,FINISHING,Trainee,Sylhet,7670,783,8453,01784721440,2020-04-26,98.7,sohel.miah95@gmail.com,4083406747489,9.4
EMP00095,Nadia Uddin,42,Female,B+,Store,Operator,sylhet,11611.00,860,12471,01817734153,"April 07, 2019",89.1,nadia.uddin54@gmail.com,7829573924614,3.6
EMP00096,Jamal Akter,41,Female,B-,CUTTING,Floor In-charge,Naraynganj,28082,3290,31372,01850693207,"March 21, 2019",98.9,jamal.akter2@gmail.com,3064768913840,11.2
EMP00097,Sohel Islam,31,Female,O-,qc,Machine Mechanic,Gazipur,14634,1114,15748,01773013937,2020-11-16,,sohel.islam41@gmail.com,4577339809883,5.6
EMP00098,NADIA MIAH,27,Male,O-,Admin,Helper,Gazipur,7534,550,8084,01997859993,2021-03-12,98.6,nadia.miah44@gmail.com,9597758269798,14.5
EMP00099,Mamun Biswas,40,Female,B+,Store,Floor In-charge,Dhaka,25554,1402,26956,01941062464,2018-01-14,76.7,mamun.biswas20@gmail.com,4844034992209,7.6
EMP00100,Monira Miah,49,Female,B+,Admin,Machine Mechanic,rajshahi,15369,2271,17640,+8801722927031,2018-02-05,88.1,monira.miah31@gmail.com,5438962328022,12.2
EMP00101,MOFIZ MONDAL,43,,A+,Embroidery,Senior Operator,Sylhet,14850 taka,1303,16153,01933002714,2020-09-01,77.1,mofiz.mondal56@gmail.com,2679219855307,13.4
EMP00102,Abdul Karim Ali,35,Male,O+,Quality Control,Machine Mechanic,RAJSHAHI,16448,2404,18852,01750168264,2021-04-17,79.1,abdul.ali31@gmail.com,7845531229952,10.2
EMP00103,Shirina Akter,23,Female,A+,EMBROIDERY,Supervisor,Narayanganj,19803,2881,22957,01946685332,23/03/20,94.6,shirina.akter58@gmail.com,5013606580271,5.3
EMP00104,Belal Sheikh,42,Female,AB-,Finishing,Machine Mechanic,GAZIPUR,17841,2291,20132,+8801824301022,2018-11-12,77.3,belal.sheikh40@gmail.com,7332691920313,11.4
EMP00105,  Sumaiya Khan  ,46,Female,A+,Cutting,Supervisor,Rajshahi,17468,1918,19386,01865-540647,2019-10-27,84.7,sumaiya.khan11@gmail.com,3982945430360,10.3
EMP00106,Roksana Khan,49,Female,B-,PACKING,Quality Inspector,Sylhet,15449,1161,16610,01824357588,2019-05-21,78.4,roksana.khan1@gmail.com,7961922185256,5.0
EMP00107,Lovely Sheikh,45,Female,B-,Washing,Floor In-charge,Sylhet,30147,4428,34575,01860473288,2019-08-20,82.0,lovely.sheikh51@gmail.com,3003022489752,14.0
EMP00108,Jamal Khatun,53,Female,B+,Maintenance,Supervisor,Gazipur,17133,1942,19075,01966-791272,2019-05-11,94.7,jamal.khatun10@gmail.com,9429293941098,8.7
EMP00109,SHIRINA UDDIN,41,Female,AB-,Embrodiery,Trainee,Chattogram,7436 taka,853,,+8801824219637,2018-04-01,75.3,shirina.uddin34@gmail.com,9981730103327,11.2
EMP00110,Shirina Khatun,41,Male,B+,Admin,Helper,Rajshahi,7948,1129,9077,01851861213,2018/06/25,83.6,shirina.khatun27@gmail.com,9497683482629,5.2
EMP00111,SUMAIYA ISLAM,37,Female,O+,Store,Line Chief,chittagong,22692,1530,24222,01841119124,2018-11-24,94.9,sumaiya.islam81@gmail.com,5415397109,9.6
EMP00112,Nadia Sheikh,46,Male,AB-,Sewing,Machine Mechanic,Dhaka,17773,1069,18842,01836450861,21/11/22,86.4,nadia.sheikh34@gmail.com,7120819019834,5.3
EMP00113,Rashid Khatun,55,Female,B+,Finishing,Quality Inspector,Khulna,"৳13,954",895,14849,,06/03/20,85.6,rashid.khatun63@gmail.com,4049426348751,8.3
EMP00114,Amena Hossain,46,Female,O+,FINISHING,Supervisor,Sylhet,19196,1910,21106,01969572772,2021-11-03,87.2,,1543594244352,11.9
EMP00115,  Kulsum Hossain  ,52,Female,A+,Sewing,Quality Inspector,Dhaka,16503,2104,18607,01969239219,14/08/22,88.7,kulsum.hossain55@gmail.com,5354028875173,4.5
EMP00116,Abdul Karim Islam,23,Male,B-,Packing,Line Chief,Narayanganj,29998,3348,33346,01786514083,2022-05-27,83.8,abdul.islam36@gmail.com,6691554842476,14.7
EMP00117,Hasina Hossain,50,Male,O+,Admin,Quality Inspector,Narayanganj,12485,807,13340,01829081953,22-10-2019,89.4,hasina.hossain35@gmail.com,8286960969557,5.6
EMP00118,Fatema Sarker,35,Male,O+,Cutting,Asst. Manager,Khulna,50022,5823,55845,01767665720,2020-01-04,95.6,fatema.sarker64@gmail.com,6679100122246,12.4
EMP00119,Selim Uddin,49,Male,B+,Admin,Supervisor,Khulana,23529,2251,25780,01950515702,2020-05-26,79.0,selim.uddin36@gmail.com,5403889536589,1.2
EMP00120,sharmin talukder,37,Female,A+,FINISHING,Operator,Rajshahi,10918,691,11609,+8801756113741,2019-04-09,95.4,sharmin.talukder55@gmail.com,3326558147597,7.2
EMP00121,Kulsum Sheikh,38,Female,AB-,cut,Senior Operator,Chattogram,"৳14,123",1568,15691,01938595818,2018-12-03,90.7,kulsum.sheikh20@gmail.com,8245265776228,9.2
EMP00122,করিম Uddin,26,Female,A+,Quality Control,Senior Operator,Chattogram,16145,943,17088,01950486688,2021-02-07,,rashid.hawladar78@gmail.com,4317903135288,11.2
EMP00123,Hasina Sarker,42,Female,AB-,Sewing,Helper,Rajshahi,7493,1020,8513,01933188838,10-03-2021,,hasina.sarker99@gmail.com,1292371273700,8.8
EMP00124,Md. Rahim Hossain,43,Male,AB+,Quality Control,Operator,chittagong,13104,1462,14566,01778626154,2019-07-23,98.0,md..hossain20@gmail.com,6748970020310,5.9
EMP00125,Mamun Mondal,45,Male,A-,CUTTING,Quality Inspector,gazipur,"৳12,706",1028,13734,01728416255,"February 27, 2022",92.5,mamun.mondal21@gmail.com,3934576120409,5.6
EMP00126,NASRIN MONDAL,19,Male,O-,Pakcing,Senior Operator,narayanganj,"৳15,228",1455,16683,01932398441,08/01/20,84.2,nasrin.mondal33@gmail.com,2811502654200,13.4
EMP00127,Sharmin Biswas,50,Female,B-,Cutting,Helper,Gazipur,7090,746,7836,01843321320,not recorded,85.4,sharmin.biswas93@gmail.com,5773082776804,12.4
EMP00128,Anwar Akter,21,Male,AB-,Cutting,Trainee,GAZIPUR,6367,373,6740,01749137230,24/07/20,89.1,anwar.akter39@gmail.com,9161479752733,5.5
EMP00129,Amena Mondal,33,Female,A-,quality control,Trainee,Narayanganj,6308,553,6861,01781110496,2022-02-20,99.6,amena.mondal54@gmail.com,3508247841048,10.7
EMP00130,Fatema Miah,41,Male,B-,quality control,Trainee,RAJSHAHI,6938,390,7328,01845029610,2021-09-18,96.3,fatema.miah51@gmail.com,6741234623994,4.8
EMP00131,Mofiz Ali,55,Female,AB+,Cutting,Helper,Dhaka,7318,1072,8390,01845-568761,"March 02, 2019",96.3,mofiz.ali12@gmail.com,6354475833941,12.4
EMP00132,Rubel Khatun,38,Female,B-,Sewing,Helper,Narayanganj,7186,1043,8229,01772014395,"October 17, 2022",77.5,rubel.khatun18@gmail.com,1206680067987,0.9
EMP00133,Sohel Ali,43,Male,AB-,Finishing,Helper,Narayanganj,0,793,9198,01715730602,21/09/18,98.6,sohel.ali7@gmail.com,8621736796964,12.3
EMP00134,Belal Islam,45,Female,A+,Sewing,Asst. Manager,Gazipur,43053,3423,46476,01747550897,2020-04-23,84.6,belal.islam54@gmail.com,5383124996111,9.5
EMP00135,Shirina Mondal,40,Male,AB+,Sewing,Asst. Manager,Naraynganj,40892 taka,3349,44241,01773308406,25/03/19,88.2,shirina.mondal99@gmail.com,2761622174717,3.7
EMP00136,Kulsum Hossain,32,Female,B+,Maintenance,Operator,Narayanganj,12181.00,643,12824,+8801935264294,05-12-2021,,kulsum.hossain64@gmail.com,6435462036883,2.6
EMP00137,ABDUL KARIM BEGUM,32,Male,A-,Sweing,Helper,Khulana,"৳8,078",452,8530,01958974686,2018-10-30,99.0,abdul.begum48@gmail.com,7960690887252,8.8
E-0138,Selim Hossain,45,Female,B+,Washing,Supervisor,DHAKA,21846 taka,1919,23765,01710241310,12-02-2022,98.7,selim.hossain74@gmail.com,4199889718347,9.0
EMP00139,Lovely Ali,27,Male,A-,Admin,Senior Operator,Rajshahi,"৳14,949",764,15713,01844448045,06-03-2019,94.7,lovely.ali93@gmail.com,1846114059849,5.8
EMP00140,Nasrin Sheikh,42,Female,A-,Finishing,Asst. Manager,Rajshahi,37415,2974,40389,+8801755876720,2019-10-15,79.3,nasrin.sheikh49@gmail.com,2640583196129,5.1
EMP00141,Lovely Talukder,28,Female,AB+,Store,Operator,Rajshahi,12556.00,1324,13880,01841883191,2022-02-03,77.4,lovely.talukder51@gmail.com,7441983003,2.3
EMP00142,MONIRA MIAH,48,Female,AB+,Embroidery,Senior Operator,Sylhet,14695,1888,16928,01796149847,2020-08-22,88.6,monira.miah24@gmail.com,7499923813444,2.8
EMP00143,Abdul Karim Hossain,32,Male,A+,Strore,Floor In-charge,Sylhet,35946,3285,39231,01880139805,"March 30, 2022",85.5,abdul.hossain69@gmail.com,9353438065159,8.6
EMP00144,Kulsum Islam,20,Male,B-,packing,Senior Operator,RAJSHAHI,17681,2562,20243,+8801715727862,2018-12-09,85.6,kulsum.islam88@gmail.com,4553807953546,15.0
EMP00145,Mamun Khan,22,Female,A-,Admin,Quality Inspector,Sylhet,14671,1648,16319,01830084652,2020-12-06,78.7,mamun.khan76@gmail.com,2777169612229,11.8
EMP00146,SHIRINA TALUKDER,42,Female,A+,Washing,Asst. Manager,sylhet,39713,4403,44116,01854492381,2021-11-21,92.3,shirina.talukder7@gmail.com,9361209329114,13.8
EMP00147,Monira Miah,35,Female,B-,Washing,Quality Inspector,Sylhet,14461,1657,16118,01875023164,2019-01-20,94.0,monira.miah48@gmail.com,1991368720934,7.7
EMP00148,roksana begum,26,Female,B-,Packing,Trainee,Rajshai,7598,405,8003,01859439358,14/04/18,95.6,roksana.begum65@gmail.com,3181512989883,10.2
EMP00149,Kulsum Akter,29,Female,A+,Store,Machine Mechanic,Rajshahi,16516,975,17491,01786807176,2018-02-26,94.5,kulsum.akter28@gmail.com,4894921634715,9.7
EMP00150,Sharmin Ali,19,Female,AB+,packing,Asst. Manager,Khulna,35277,2654,37931,01860529679,2022-07-07,96.3,sharmin.ali59@gmail.com,4836488121562,7.0
EMP00151,Sharmin Uddin,24,Female,AB+,Admin,Asst. Manager,Khulna,38542,2173,40715,01898062882,2019-07-21,92.8,sharmin.uddin84@gmail.com,4312703083283,-1
EMP00152,Sohel Ali,38,Male,AB-,Sewing,Machine Mechanic,Rajshahi,14421,1742,16163,01939845082,2021-03-17,92.2,sohel.ali82@gmail.com,5316898140,13.6
EMP00153,Sharmin Akter,28,Male,AB-,Maintenance,Quality Inspector,Narayanganj,12799,1675,14474,01921985619,2022-04-12,80.6,sharmin.akter29@gmail.com,,11.8
